Lot Area,Neighborhood,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Bsmt Qual,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,TotRms AbvGrd,Garage Cars,Garage Area,SalePrice
10159,NridgHt,9,5,2009,2010,Ex,1930,1940,0,1940,2,3,8,3,606,395192
12883,NridgHt,8,5,2009,2010,Gd,1544,1544,0,1544,2,3,7,3,868,290941
12182,NridgHt,7,5,2005,2005,Gd,1541,1541,0,1541,2,3,7,2,532,220000
11520,NridgHt,9,5,2005,2005,Ex,1698,1698,0,1698,2,3,7,3,730,275000
14122,NridgHt,8,5,2005,2006,Ex,1822,1822,0,1822,2,3,8,3,678,259000
10171,NridgHt,7,5,2004,2004,Gd,1517,1535,0,1535,2,3,7,2,532,214000
12919,NridgHt,9,5,2009,2010,Ex,2330,2364,0,2364,2,2,11,3,820,611657
6371,NridgHt,7,5,2009,2010,Gd,1358,1358,0,1358,2,2,6,2,484,224000
14300,NridgHt,9,5,2003,2004,Ex,2846,2696,0,2696,2,3,10,3,958,500000
13650,NridgHt,8,5,2002,2002,Gd,1671,1687,563,2250,2,3,7,3,756,320000
7658,NridgHt,9,5,2005,2005,Ex,1752,1752,0,1752,2,2,6,2,576,319900
7132,NridgHt,8,5,2006,2006,Gd,1370,1370,0,1370,2,2,6,2,484,205000
2628,NridgHt,7,5,2003,2003,Gd,764,764,862,1626,2,2,6,2,474,175500
18494,Gilbert,6,5,2005,2005,Gd,1324,1324,0,1324,2,3,6,2,430,199500
3203,Blmngtn,7,5,2006,2006,Gd,1145,1145,0,1145,2,2,6,2,437,160000
3182,Blmngtn,8,5,2004,2005,Gd,1256,1269,0,1269,2,2,6,2,430,192000
13300,Gilbert,7,5,2004,2004,Gd,384,744,630,1374,2,3,7,2,400,184500
7851,Gilbert,6,5,2002,2002,Gd,860,860,1100,1960,2,4,8,2,440,216500
8577,Gilbert,7,5,2004,2004,Gd,847,847,886,1733,2,3,7,2,433,185088
7750,Gilbert,7,5,2000,2000,Gd,384,774,656,1430,2,3,7,2,400,180000
9505,Gilbert,7,5,2001,2001,Gd,884,884,1151,2035,2,3,8,2,434,222500
14774,NoRidge,9,5,1999,1999,Gd,1393,1422,1177,2599,2,4,10,3,779,333168
17433,NoRidge,8,5,1998,1998,Ex,1629,1645,830,2475,2,4,7,3,962,355000
10593,NoRidge,7,5,1996,1996,Gd,1720,1720,0,1720,2,3,7,2,527,260400
12256,NoRidge,8,5,1994,1995,Ex,1463,1500,1122,2622,2,3,9,2,712,325000
11764,NoRidge,8,7,1999,2007,Gd,1152,1164,1106,2270,2,4,9,3,671,290000
16770,NoRidge,7,5,1998,1998,Gd,1195,1195,644,1839,2,4,7,2,486,221000
14720,NoRidge,8,5,1995,1996,Gd,2033,2053,1185,3238,2,4,9,3,666,410000
8987,Somerst,8,5,2005,2006,Gd,1595,1595,0,1595,2,2,6,3,880,221500
9215,Somerst,7,5,2009,2010,Gd,1218,1218,0,1218,2,2,4,2,676,204500
8640,Somerst,7,5,2009,2009,Gd,756,764,783,1547,2,3,7,2,614,215200
9000,Somerst,8,5,2008,2008,Gd,1566,1566,0,1566,2,3,7,2,750,262500
12552,Somerst,7,5,2004,2005,Gd,991,991,956,1947,2,3,8,2,678,254900
10440,Somerst,6,5,2005,2005,Ex,1468,1468,0,1468,2,2,6,2,528,271500
10142,SawyerW,7,5,2004,2004,Gd,956,956,1128,2084,2,4,8,2,618,233000
11920,SawyerW,7,5,2004,2004,Gd,831,831,828,1659,2,3,8,2,484,181000
8880,SawyerW,7,5,1994,2002,Gd,948,1222,888,2110,2,3,8,2,463,205000
8012,SawyerW,6,5,1980,1980,Gd,923,923,0,923,2,2,5,1,264,143000
11218,SawyerW,6,5,1992,1992,Gd,1055,1055,790,1845,2,3,8,2,462,189000
7892,SawyerW,6,5,1979,1979,Gd,918,918,0,918,2,2,5,1,264,99500
7175,SawyerW,6,5,1984,1984,Gd,744,752,0,752,1,2,4,1,264,125000
9453,SawyerW,7,7,1993,2003,Gd,996,1014,730,1744,2,3,7,2,457,194500
9672,SawyerW,6,5,1984,1985,Gd,1040,1097,0,1097,2,3,6,2,480,152000
8400,SawyerW,6,6,1980,1981,Gd,650,888,676,1564,2,3,7,2,476,171000
9800,SawyerW,5,5,1920,1950,TA,816,1012,0,1012,1,2,5,1,429,67500
8930,Sawyer,6,5,1978,1978,NA,0,1318,584,1902,2,4,8,2,539,112000
11782,Sawyer,5,7,1961,1995,TA,1109,1155,0,1155,1,3,6,2,576,148000
8450,Sawyer,5,8,1965,2009,TA,894,894,0,894,1,3,5,1,336,138500
9819,Sawyer,5,5,1967,1967,TA,882,900,0,900,1,3,5,1,280,122000
7500,Sawyer,5,5,1963,1963,TA,1040,1040,0,1040,1,3,5,1,308,133000
6897,Sawyer,5,8,1962,2010,TA,1040,1040,0,1040,1,3,6,1,260,127000
15410,Sawyer,6,6,1974,2002,TA,1208,1494,0,1494,2,3,7,2,461,169000
10186,NoRidge,7,5,1992,1992,Gd,750,1061,862,1923,2,3,8,2,564,190000
13143,NoRidge,8,5,1993,1993,Gd,1231,1251,1098,2349,2,4,9,3,762,362500
11134,NoRidge,8,5,1992,1993,Gd,1390,1402,823,2225,2,4,7,3,713,285000
4835,Somerst,7,5,2004,2005,Ex,1488,1488,0,1488,2,2,6,2,506,260000
3515,Somerst,7,5,2004,2004,Gd,840,840,840,1680,2,2,3,2,588,190000
3215,Somerst,7,5,2004,2004,Gd,600,600,600,1200,2,2,4,2,480,155000
3182,Somerst,7,5,2004,2005,Gd,600,600,600,1200,2,2,4,2,480,151000
2544,Somerst,7,5,2004,2005,Gd,600,600,600,1200,2,2,4,2,480,149500
2544,Somerst,6,5,2005,2005,Gd,600,600,636,1236,2,2,4,2,480,152000
4403,Somerst,7,5,2009,2009,Ex,1470,1478,0,1478,2,2,7,2,484,222000
2117,Somerst,6,5,2000,2000,Gd,756,769,804,1573,2,3,5,2,440,177500
2980,Somerst,6,5,2000,2000,Gd,756,756,756,1512,2,2,5,2,440,177000
2572,Somerst,7,5,1999,1999,Gd,696,696,720,1416,2,3,6,2,484,155000
2403,Somerst,7,5,2003,2003,Gd,530,530,550,1080,2,2,4,2,496,147110
12853,Somerst,8,5,2010,2010,Ex,1642,1418,0,1418,1,1,6,3,852,267916
7379,Somerst,8,5,2000,2000,Gd,975,975,873,1848,2,3,7,2,592,254000
4420,Greens,8,5,1980,1980,Gd,728,788,0,788,1,1,3,2,484,155000
3880,Greens,8,6,1978,1978,Gd,1226,1226,0,1226,1,1,4,2,484,206000
13517,Sawyer,6,8,1976,2005,TA,725,725,754,1479,2,3,6,2,475,130500
8000,Somerst,7,5,2002,2002,Gd,1492,1492,0,1492,2,3,6,2,596,230000
10456,NWAmes,6,6,1967,1967,TA,1829,1829,0,1829,2,4,8,2,535,218500
10791,NWAmes,6,5,1993,1993,Gd,1280,1280,1215,2495,2,4,9,2,660,243500
10603,NWAmes,6,7,1977,2001,TA,1610,1610,0,1610,2,3,6,2,480,205000
18837,NWAmes,6,5,1978,1978,Gd,1224,1287,604,1891,3,3,7,2,678,212500
10421,NWAmes,7,5,1988,1988,Gd,980,980,734,1714,2,3,7,2,496,196500
9360,NWAmes,6,7,1972,2006,TA,1161,1381,0,1381,1,3,5,2,676,197500
9600,NWAmes,6,6,1971,1971,TA,715,930,715,1645,1,4,7,2,441,171000
9600,NAmes,5,5,1966,1966,TA,1232,1232,0,1232,1,3,6,2,490,142250
9790,NWAmes,6,5,1963,1963,TA,1328,1328,0,1328,1,3,6,2,528,143000
9320,NAmes,4,5,1959,1959,TA,950,1225,0,1225,1,3,6,0,0,128950
9900,NAmes,5,5,1966,1966,Gd,1209,1209,0,1209,1,3,6,2,504,159000
9680,NAmes,5,6,1967,1967,TA,1510,1510,0,1510,2,3,6,2,517,178900
10600,NAmes,6,5,1964,1964,TA,533,1131,644,1775,2,3,8,2,480,136300
14112,NAmes,5,7,1964,1964,TA,1152,1152,0,1152,1,3,6,2,484,180500
8800,NAmes,6,7,1963,1963,TA,936,1054,0,1054,1,3,6,2,480,137500
13260,NAmes,5,6,1962,2001,TA,1728,1728,0,1728,2,6,10,0,0,84900
9717,NAmes,5,6,1950,1996,TA,1078,1078,0,1078,1,2,5,1,240,142125
9724,NAmes,5,7,1952,2002,TA,1140,1929,532,2461,2,3,7,2,400,197600
17360,NAmes,6,6,1949,1950,TA,782,1019,537,1556,2,3,6,2,470,172500
7207,BrkSide,5,7,1958,2008,TA,858,858,0,858,1,2,4,0,0,116500
5350,BrkSide,3,2,1940,1966,TA,728,1306,0,1306,1,3,6,0,0,76500
9920,NAmes,5,5,1954,1954,TA,1056,1063,0,1063,1,3,6,1,280,128000
9600,NAmes,6,6,1955,1972,TA,1156,1520,0,1520,1,3,7,1,364,153000
7800,NAmes,5,6,1954,1954,TA,1268,1268,0,1268,1,2,7,1,244,132000
11380,NAmes,6,8,1966,2008,TA,1080,1128,0,1128,1,2,5,1,315,178000
11600,NAmes,5,5,1960,1960,TA,1105,1105,1169,2274,2,5,12,2,480,154300
19900,NAmes,7,5,1970,1989,Gd,1947,2207,0,2207,2,3,7,2,576,180000
16492,NAmes,6,6,1966,2002,TA,1517,1888,0,1888,2,2,6,2,578,190000
8267,NAmes,5,5,1958,1958,TA,1604,1604,0,1604,2,4,8,2,576,135000
8197,NAmes,7,5,2003,2009,Gd,1480,1480,0,1480,2,3,7,2,620,214000
8050,NAmes,5,5,1959,1959,TA,1143,1143,0,1143,1,3,6,1,308,136000
10552,NAmes,5,5,1959,1959,TA,1398,1700,0,1700,1,4,6,2,447,165500
8400,NAmes,5,6,1957,1957,TA,1314,1314,0,1314,1,3,5,1,294,145000
8760,NAmes,6,6,1959,1959,TA,1194,1194,0,1194,1,3,6,1,312,148000
12160,NAmes,5,5,1959,1959,TA,1188,1188,0,1188,1,3,6,2,531,142000
9300,NAmes,5,5,1960,1960,TA,1268,1264,0,1264,1,3,6,2,461,167500
10725,NAmes,5,5,1959,1959,TA,1206,1206,0,1206,1,3,6,1,312,108538
10032,NAmes,6,5,1959,1959,TA,1244,1580,0,1580,1,3,6,2,440,159500
8382,NAmes,4,5,1956,1956,TA,832,832,505,1337,1,3,5,1,263,108000
10950,NAmes,5,7,1952,1952,TA,864,1064,0,1064,1,2,4,1,318,135000
10895,NAmes,5,6,1955,1955,TA,972,972,0,972,1,3,5,1,305,122500
13587,NAmes,5,5,1958,1958,TA,988,988,0,988,1,2,5,1,264,119000
7922,NAmes,5,7,1953,2007,TA,1057,1057,0,1057,1,3,5,1,246,109000
7898,NAmes,4,7,1920,1994,TA,576,985,0,985,1,2,4,2,676,105000
7200,NAmes,5,7,1955,2007,NA,0,827,0,827,1,2,5,1,392,107500
10200,NAmes,5,7,1954,2003,TA,1086,1086,0,1086,1,3,6,2,490,144900
5868,NAmes,5,7,1956,2000,TA,936,936,0,936,1,2,4,1,308,129000
17503,NAmes,6,5,1948,1950,TA,912,912,546,1458,1,3,6,1,330,97500
6979,OldTown,6,5,1980,1980,TA,1056,1056,0,1056,0,0,4,2,576,144000
9830,NAmes,5,7,1959,2006,TA,1063,1287,0,1287,1,3,7,2,576,162000
11275,NAmes,7,7,1967,2007,Gd,710,1898,1080,2978,2,5,11,2,564,242000
8064,NAmes,6,8,1948,2004,TA,816,816,408,1224,1,3,5,1,280,132000
7500,NAmes,5,7,1959,1994,TA,1246,1246,0,1246,1,3,6,1,305,154000
8520,NAmes,5,4,1952,1952,TA,910,910,475,1385,2,4,6,2,720,166000
7200,NAmes,5,7,1951,2000,TA,900,900,0,900,1,3,5,2,576,134800
10000,NAmes,6,6,1962,1962,TA,1116,1116,0,1116,1,3,5,2,440,160000
7635,NAmes,5,6,1960,1960,TA,1175,1175,0,1175,1,3,6,2,484,148000
9760,NAmes,6,7,1963,1984,TA,1395,1395,0,1395,1,2,7,2,440,192000
7700,NAmes,6,5,1966,1966,TA,756,1051,788,1839,1,4,7,2,442,155000
4800,OldTown,4,5,1900,1954,TA,709,1157,687,1844,1,3,9,1,240,80400
8800,OldTown,4,7,1910,2004,TA,576,792,348,1140,1,3,7,0,0,96500
4485,OldTown,5,7,1920,1950,TA,936,936,0,936,1,2,5,0,0,109500
8960,OldTown,5,6,1927,1950,TA,1008,1028,0,1028,1,2,5,2,360,115000
5805,OldTown,5,7,1957,1957,TA,1347,1347,0,1347,1,3,6,2,551,143000
5790,OldTown,3,6,1915,1950,Fa,840,840,765,1605,2,3,8,1,379,107400
4608,OldTown,4,6,1945,1950,TA,747,747,0,747,1,2,4,1,220,80000
7200,OldTown,5,7,1940,1992,TA,788,804,0,804,1,2,4,1,240,119000
5500,OldTown,5,7,1929,2001,TA,926,926,0,1316,1,3,6,2,484,130000
6900,OldTown,6,7,1938,2000,Gd,827,827,424,1251,1,3,6,1,240,119000
11851,OldTown,5,7,1948,2009,TA,1027,1027,606,1633,1,3,7,1,240,129000
8239,OldTown,5,6,1920,1962,TA,1008,1060,185,1245,1,3,6,1,315,100000
9656,OldTown,2,2,1923,1970,Fa,678,832,0,832,1,2,5,2,780,12789
8520,OldTown,6,8,1928,2003,TA,624,720,0,720,1,2,5,2,484,105900
9600,OldTown,8,9,1900,2003,TA,930,930,636,1566,2,3,7,1,288,150000
10800,OldTown,5,6,1915,1950,Fa,686,966,686,1652,2,4,7,1,416,139000
9000,OldTown,8,9,1890,2002,Fa,346,1157,1111,2268,3,3,7,2,624,240000
9045,OldTown,5,3,1910,1950,TA,840,1128,1128,2256,2,4,12,0,0,76500
7407,OldTown,6,7,1957,1996,TA,912,1236,0,1236,1,2,6,2,923,149700
7740,OldTown,4,7,1910,1950,Fa,622,741,622,1363,1,3,6,2,528,125500
11340,OldTown,4,6,1885,1950,TA,777,1246,1044,2290,2,4,11,2,560,122500
10560,OldTown,6,7,1922,1994,Fa,738,868,602,1470,1,2,6,2,624,140750
5830,BrkSide,5,6,1950,1997,TA,988,1030,582,1612,1,3,7,1,363,128500
7793,BrkSide,7,7,1922,2005,Gd,1108,1160,908,2068,1,3,8,1,315,209500
5000,BrkSide,4,7,1925,1950,TA,765,765,0,765,1,2,4,1,200,87000
6000,BrkSide,6,7,1939,1950,TA,608,608,524,1132,1,2,5,1,240,134000
6000,BrkSide,6,6,1940,1950,TA,572,848,348,1196,1,3,6,2,576,128000
6360,BrkSide,5,6,1942,1950,TA,835,955,498,1453,1,3,7,1,240,132000
6000,BrkSide,6,7,1948,1950,TA,780,780,636,1416,1,3,6,1,312,139900
6240,BrkSide,5,7,1936,1980,TA,528,548,492,1040,1,2,5,2,624,123900
6240,BrkSide,5,5,1930,1950,TA,928,928,608,1536,2,4,7,2,480,138400
6120,OldTown,6,5,1923,1950,Fa,1124,1068,0,1068,1,2,5,1,288,109500
10300,OldTown,7,6,1921,1950,TA,576,902,808,1710,2,3,9,2,480,140000
8094,OldTown,4,5,1915,1950,TA,888,888,1074,1962,1,4,9,2,572,149500
12900,OldTown,6,8,1912,2009,TA,780,780,780,1560,1,3,7,0,0,159900
3068,OldTown,6,8,1920,1993,TA,662,662,662,1324,1,3,6,1,180,122000
8472,IDOTRR,5,5,1963,1963,Gd,816,816,0,816,1,2,5,2,516,110000
5600,IDOTRR,4,5,1930,1950,NA,0,372,720,1092,2,3,7,0,0,55000
7630,OldTown,5,9,1900,1996,Gd,360,1032,780,1812,2,4,8,2,672,140000
24090,ClearCr,7,7,1940,1950,TA,1032,1207,1196,2403,2,4,10,1,349,244400
15263,ClearCr,5,5,1959,1959,Gd,1422,1675,0,1675,2,3,8,1,365,173000
10632,ClearCr,5,3,1917,1950,Gd,689,725,499,1224,1,3,6,1,180,107500
9900,SWISU,5,4,1915,1950,TA,1212,1212,180,1392,1,3,6,0,0,100000
6001,SWISU,6,5,1940,1950,Fa,600,600,319,919,1,3,5,1,231,95000
6449,SWISU,4,1,1907,1950,TA,707,942,942,1884,1,4,7,0,0,93369
6048,SWISU,5,7,1910,1950,TA,856,936,744,1680,2,2,7,2,450,114900
6342,Sawyer,5,8,1875,1996,TA,780,780,240,1020,1,2,6,0,0,94000
10773,Sawyer,4,3,1967,1967,TA,1832,1832,0,1832,2,4,8,0,0,136000
10778,Sawyer,4,5,1968,1968,TA,1768,1768,0,1768,2,4,8,0,0,136500
11625,Sawyer,5,4,1965,1965,TA,1039,1039,0,1039,1,3,6,2,504,131500
11341,Sawyer,5,6,1957,1996,Gd,1392,1392,0,1392,1,3,5,2,528,121500
8521,Sawyer,5,5,1967,1967,TA,912,912,0,912,1,3,5,1,336,125000
8246,Sawyer,5,8,1968,2001,TA,1060,1060,0,1060,1,3,6,1,270,154000
7800,Sawyer,5,7,1966,2008,TA,864,892,0,892,1,3,5,1,416,137900
9364,Sawyer,6,7,1969,1969,TA,663,663,689,1352,1,4,7,1,299,158000
7832,Sawyer,5,5,1968,1968,TA,864,864,0,864,1,2,4,1,280,137250
7424,Sawyer,5,5,1978,1978,Gd,1319,1373,0,1373,1,3,5,2,591,160250
11227,Sawyer,5,5,1968,1968,TA,720,720,720,1440,1,4,7,2,480,163000
11616,Sawyer,6,5,1978,1978,TA,672,672,714,1386,2,3,6,2,440,158900
14000,ClearCr,7,5,1996,1997,Ex,1306,1306,954,2260,2,3,7,2,533,328000
20062,ClearCr,7,7,1977,2001,Gd,1420,1483,0,1483,1,1,4,2,690,270000
9259,Sawyer,4,4,1927,1950,Fa,660,756,0,756,1,2,4,2,440,85000
9600,Sawyer,4,7,1950,1995,Gd,1067,1067,0,1067,2,2,4,2,436,128000
23595,ClearCr,7,6,1979,1979,Gd,1332,1332,192,1524,0,0,4,2,586,260000
17082,ClearCr,6,5,1978,1992,Gd,1117,1117,864,1981,2,4,8,2,522,230000
18600,Edwards,3,4,1938,1990,TA,972,1052,558,1610,2,4,8,1,480,124000
10625,Edwards,5,5,1920,1950,TA,458,835,0,835,1,2,5,1,366,83000
11479,Edwards,6,7,1950,1987,TA,663,1074,0,1074,1,3,6,1,467,144500
9571,Edwards,5,6,1956,1956,TA,1144,1144,0,1144,1,3,6,1,596,129000
9350,Edwards,4,6,1947,1979,TA,756,1169,0,1531,1,3,8,1,209,127000
9525,Edwards,5,7,1954,1998,TA,1172,1172,0,1172,1,3,5,1,366,128000
10420,Edwards,6,5,2009,2009,Gd,1212,1212,0,1212,2,3,6,2,460,186000
17485,Edwards,7,5,2009,2010,Gd,1508,1508,0,1508,1,1,5,2,572,308030
11200,Edwards,5,3,1964,1964,TA,1250,1298,0,1298,2,3,5,2,504,114000
11100,Edwards,4,7,1946,2006,NA,0,930,0,930,1,2,6,1,308,84900
9206,SawyerW,6,5,1985,1985,Gd,741,977,755,1732,2,3,7,2,476,178000
11980,SawyerW,7,5,1987,1987,Gd,1433,1433,0,1433,1,1,4,2,528,270000
12361,SawyerW,6,7,1993,1993,Gd,946,964,838,1802,2,3,8,4,1017,218000
9938,SawyerW,7,5,1993,1994,Gd,1050,1062,887,1949,2,3,8,2,574,236000
9069,SawyerW,6,6,1992,1992,Gd,936,996,0,996,1,2,5,2,564,147000
10475,CollgCr,8,5,2008,2008,Gd,1694,1694,0,1694,2,3,7,3,776,245350
6762,CollgCr,7,5,2006,2006,Gd,1187,1208,0,1208,2,2,6,2,632,206000
10402,CollgCr,7,5,2009,2009,Gd,1226,1226,0,1226,2,3,6,3,740,198900
7360,CollgCr,7,5,2010,2010,Gd,1222,1222,0,1222,2,2,6,2,615,187000
12376,SawyerW,7,5,1990,1990,Gd,1673,1699,1523,3222,3,5,11,3,594,320000
14235,SawyerW,6,8,1900,1993,Fa,676,831,614,1445,2,3,6,2,484,138500
8816,ClearCr,6,7,1971,1971,TA,1010,1052,0,1052,1,3,6,2,440,155000
11105,CollgCr,5,5,1996,1996,Gd,870,965,0,965,1,2,4,2,580,159000
9337,CollgCr,7,5,1997,1998,Gd,878,892,800,1692,2,3,8,2,513,191000
8750,CollgCr,6,5,1998,1998,Gd,804,804,878,1682,2,3,7,2,523,200500
15240,CollgCr,5,8,1977,2004,Gd,1026,1026,0,1026,1,3,5,1,308,150000
10900,CollgCr,6,7,1977,1977,Gd,689,689,703,1392,1,3,6,1,299,161750
10650,CollgCr,5,6,1976,1976,TA,894,894,0,894,1,3,5,1,308,128200
7480,CollgCr,5,6,1972,1972,TA,876,876,0,876,1,3,5,2,484,127000
10389,CollgCr,8,5,2003,2003,Gd,1978,1978,0,1978,2,3,8,3,850,318000
11423,CollgCr,8,5,2001,2002,Gd,1581,1601,0,1601,2,3,6,2,670,272000
9548,CollgCr,7,6,2003,2003,Gd,941,941,888,1829,2,3,7,2,613,237000
9375,CollgCr,7,5,1997,1997,Gd,1040,1044,1054,2098,2,4,9,2,621,240000
12137,CollgCr,7,5,1998,1998,Gd,1649,1661,0,1661,2,3,6,2,598,224900
4435,CollgCr,6,5,2003,2003,Gd,848,848,0,848,1,1,4,2,420,143750
4426,CollgCr,6,5,2004,2004,Gd,848,848,0,848,1,1,3,2,420,143000
10635,CollgCr,8,5,2003,2003,Gd,1657,1668,0,1668,2,3,8,2,502,232000
8400,CollgCr,7,5,2004,2005,Gd,1473,1484,0,1484,2,3,7,2,606,213000
8773,CollgCr,7,5,2004,2004,Gd,1414,1414,0,1414,2,3,6,2,494,185500
8777,Edwards,3,6,1945,2007,NA,0,640,0,640,1,2,5,1,240,84900
8842,Edwards,5,6,1954,1954,Fa,381,992,0,992,1,3,6,1,319,155891
9825,Edwards,5,5,1965,1965,NA,0,1664,0,1664,2,4,8,0,0,100000
10044,Edwards,5,6,1968,1968,Gd,1196,1196,0,1196,1,3,6,1,336,144000
11792,Edwards,4,5,1948,1950,TA,744,792,328,1120,1,2,5,2,480,64000
6305,Edwards,6,6,1975,1975,TA,1008,1096,0,1096,1,3,5,1,352,125200
7819,Edwards,6,5,1976,1976,TA,1029,1117,0,1117,1,3,6,2,672,107000
6410,Edwards,4,5,1958,1958,TA,960,960,0,960,1,3,5,0,0,90000
8546,Edwards,4,5,2003,2004,Gd,1121,1121,0,1121,2,2,5,2,440,140000
8741,Edwards,6,4,1945,1950,TA,735,798,689,1487,1,3,7,1,220,113000
12180,Edwards,4,4,1941,1950,Gd,672,672,252,924,1,2,5,1,280,80000
8562,Edwards,5,6,1957,2002,TA,1216,1526,0,1526,1,4,7,1,364,144500
4853,SWISU,5,6,1924,1999,TA,1107,1296,0,1296,2,2,5,1,260,104000
6858,SWISU,6,4,1915,1950,Gd,806,841,806,1647,1,4,6,1,216,128000
8212,Edwards,3,3,1914,1950,TA,864,864,0,864,1,2,5,1,200,58500
5000,SWISU,5,6,1924,1950,TA,1026,1026,665,1691,2,3,6,1,308,127000
7890,SWISU,6,6,1939,1950,TA,856,856,0,856,1,2,4,2,399,126000
7200,SWISU,4,6,1967,1967,NA,0,862,1788,2650,3,6,10,0,0,160000
9839,SWISU,5,2,1931,1950,TA,894,894,772,1666,1,3,7,0,0,100000
9638,SWISU,6,7,1919,1990,TA,804,1699,748,2447,2,4,10,1,336,169000
10452,Crawfor,7,6,1941,1985,Gd,1528,1225,908,2133,1,4,8,1,312,257500
15600,Crawfor,5,6,1950,1991,TA,1032,1102,1075,2177,2,5,11,2,484,215000
9042,Crawfor,7,9,1941,2006,TA,1152,1188,1152,2340,2,4,9,1,252,266500
17500,Crawfor,7,8,1959,2002,Gd,1902,1902,0,1902,2,3,7,2,567,335000
19645,Crawfor,7,6,1994,2007,Gd,423,896,756,1652,2,3,6,2,473,203135
3907,Blueste,8,6,1989,1989,Gd,982,1034,0,1034,1,1,4,2,598,185000
3907,Blueste,8,5,1989,1989,Gd,1191,1191,0,1191,2,2,5,2,531,162500
15602,Crawfor,7,8,1959,1997,TA,1501,1801,0,1801,2,1,6,2,484,289000
5436,IDOTRR,4,8,1922,2007,TA,796,796,358,1154,1,3,7,1,240,125500
8154,IDOTRR,2,5,1941,1950,TA,480,540,0,540,1,1,4,1,200,82000
9140,IDOTRR,6,5,1921,1975,TA,629,727,380,1107,1,2,5,1,625,110000
